Student Hash,total_steps,Satisfaction (1-5),Difficulty (1-5),pct_G,pct_P,pct_S,sequence_score,independence_index,cluster
NON_S_14,46,4.307707208530533,2.7392330956790967,0.8913043478260869,0.08695652173913043,0.021739130434782608,0.08888888888888889,0.022172949002217293,0
NON_S_15,46,4.2764523290479035,2.6625062868725062,0.8695652173913043,0.13043478260869565,0.0,0.1111111111111111,0.0,2
NON_S_16,46,4.3417213445262925,2.720097738101438,0.8043478260869565,0.17391304347826086,0.021739130434782608,0.1111111111111111,0.022172949002217293,0
NON_S_17,46,4.323189145598792,2.7187416626678185,0.9130434782608695,0.08695652173913043,0.0,0.08888888888888889,0.0,0
NON_S_18,46,4.284210645673394,2.750459922862273,0.782608695652174,0.15217391304347827,0.06521739130434782,0.17777777777777778,0.06960556844547564,2
NON_S_19,46,4.326658355648559,2.8555875985406973,0.8695652173913043,0.13043478260869565,0.0,0.13333333333333333,0.0,0
NON_S_20,46,4.326823366445821,2.748292544455356,0.8913043478260869,0.08695652173913043,0.021739130434782608,0.08888888888888889,0.022172949002217293,0
NON_S_21,45,4.352992876332693,2.6822344879029925,0.8666666666666667,0.1111111111111111,0.022222222222222223,0.09090909090909091,0.022675736961451247,0
NON_S_22,45,4.33461711970665,2.7280539567867903,0.9111111111111111,0.08888888888888889,0.0,0.09090909090909091,0.0,0
NON_S_23,45,4.282527938680331,2.69248629937189,0.9111111111111111,0.044444444444444446,0.044444444444444446,0.022727272727272728,0.04640371229698376,2
NON_S_24,45,4.338217929494322,2.7503757698325995,0.9333333333333333,0.044444444444444446,0.022222222222222223,0.045454545454545456,0.022675736961451247,0
NON_S_25,45,4.345514866670358,2.6348460434388596,0.8444444444444444,0.13333333333333333,0.022222222222222223,0.13636363636363635,0.022675736961451247,0
NON_S_26,45,4.2516380417135435,2.701489486914251,0.8222222222222222,0.15555555555555556,0.022222222222222223,0.11363636363636363,0.022675736961451247,2
NON_S_27,45,4.254378535653766,2.6292252106825664,0.9111111111111111,0.08888888888888889,0.0,0.06818181818181818,0.0,2
NON_S_28,45,4.333902530435564,2.695317284768846,0.8444444444444444,0.13333333333333333,0.022222222222222223,0.13636363636363635,0.022675736961451247,0
NON_S_29,46,4.316510092447847,2.708456561150271,0.8913043478260869,0.08695652173913043,0.021739130434782608,0.08888888888888889,0.022172949002217293,0
NON_S_30,45,4.287478014767361,2.7459617740444995,0.9111111111111111,0.044444444444444446,0.044444444444444446,0.045454545454545456,0.04640371229698376,2
